correct_answer answer_type asset_type asset_file possible_answers randomize_answers question 														
402	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of California?"								
491	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Delaware?"								
1300	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of District of Columbia?"								
470	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Florida?"								
252	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Hawaii?"								
380	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Illinois?"								
271	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Iowa?"								
340	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Kansas?"								
519	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Louisiana?"								
433	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Missouri?"								
289	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of New Jersey?"								
613	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of New Mexico?"								
394	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of New York?"								
432	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of North Carolina?"								
286	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Ohio?"								
254	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Oregon?"
317	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of South Dakota?"
591	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Tennessee?"
196	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Virginia?"
289	point estimate 	no assets 	no assets 	no answers 	false 	"How many violent crimes per 100,000 inhabitants occurred in 2013 in the state of Washington?"









						
